Method,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total cost,Total successful delivery,Avg. cost per successful delivery
CSA,150,50,10,15,6.999969482421875,316.98130000000015,150,2.113208666666668
NDF,150,50,10,15,86.03572845458984,408.03679999999997,149,2.7385020134228184
EDF,150,50,10,15,85.9994888305664,591.1035999999999,150,3.940690666666666
CSA,150,75,10,15,9.000301361083984,268.1014,150,1.7873426666666667
NDF,150,75,10,15,145.9970474243164,422.7232,149,2.8370684563758393
EDF,150,75,10,15,132.05289840698242,582.236,150,3.8815733333333333
CSA,150,100,10,15,7.999420166015625,264.8357000000001,149,1.777420805369128
NDF,150,100,10,15,167.999267578125,410.75989999999996,150,2.738399333333333
EDF,150,100,10,15,170.0003147125244,570.8374999999999,150,3.8055833333333324
CSA,175,5,35,5,12.016773223876953,369.8069000000001,175,2.113182285714286
NDF,175,5,35,5,14.983654022216797,524.0374999999999,175,2.9944999999999995
EDF,175,5,35,5,13.998985290527344,706.9075999999999,175,4.039471999999999
CSA,175,25,35,5,11.981725692749023,308.79380000000003,175,1.764536
NDF,175,25,35,5,60.96458435058594,517.1936,175,2.955392
EDF,175,25,35,5,73.05288314819336,728.3895000000002,175,4.162225714285715
CSA,175,50,35,5,12.000560760498047,298.404,175,1.7051657142857142
NDF,175,50,35,5,117.98262596130371,481.16849999999994,175,2.7495342857142853
EDF,175,50,35,5,115.96059799194336,686.9294000000001,175,3.9253108571428577
CSA,175,75,35,5,11.998891830444336,307.6290999999999,175,1.7578805714285708
NDF,175,75,35,5,197.9975700378418,493.1032000000001,175,2.817732571428572
EDF,175,75,35,5,176.59831047058105,684.2505000000002,175,3.9100028571428584
CSA,175,100,35,5,13.017416000366211,299.6752,175,1.7124297142857143
NDF,175,100,35,5,230.99851608276367,487.1820000000001,175,2.783897142857143
EDF,175,100,35,5,229.9962043762207,656.0830000000003,175,3.749045714285716
CSA,175,5,17,10,10.985851287841797,385.99170000000004,175,2.2056668571428575
NDF,175,5,17,10,16.96300506591797,546.4937999999999,175,3.1228217142857133
EDF,175,5,17,10,14.999866485595703,720.8210999999998,175,4.118977714285713
CSA,175,25,17,10,9.999752044677734,316.57370000000003,175,1.8089925714285715
NDF,175,25,17,10,62.999725341796875,497.1804,175,2.841030857142857
EDF,175,25,17,10,60.03546714782715,693.5865999999999,175,3.963351999999999
CSA,175,50,17,10,10.002851486206055,313.8739,175,1.7935651428571429
NDF,175,50,17,10,114.98856544494629,497.52419999999984,175,2.842995428571428
EDF,175,50,17,10,116.01638793945312,701.5624999999999,175,4.008928571428571
CSA,175,75,17,10,9.999990463256836,303.8651,175,1.7363719999999998
NDF,175,75,17,10,172.99914360046387,481.73340000000013,175,2.7527622857142866
EDF,175,75,17,10,174.98397827148438,657.1454000000002,175,3.7551165714285726
CSA,175,100,17,10,10.017156600952148,311.55679999999995,175,1.7803245714285711
NDF,175,100,17,10,227.99921035766602,491.2434999999999,175,2.8071057142857136
EDF,175,100,17,10,229.9978733062744,677.2751000000002,175,3.8701434285714296
CSA,175,5,11,15,8.999824523925781,429.476,173,2.482520231213873
NDF,175,5,11,15,18.00084114074707,575.2447999999998,175,3.287113142857142
EDF,175,5,11,15,14.997005462646484,735.2428999999996,173,4.24995895953757
CSA,175,25,11,15,8.988618850708008,369.6883000000001,173,2.1369265895953764
NDF,175,25,11,15,61.99812889099121,512.6604000000001,175,2.9294880000000005
EDF,175,25,11,15,59.99922752380371,705.7930000000001,174,4.056281609195403
CSA,175,50,11,15,10.00070571899414,307.48870000000005,172,1.7877250000000002
NDF,175,50,11,15,116.94717407226562,499.4544,175,2.854025142857143
EDF,175,50,11,15,116.99938774108887,698.3098999999999,174,4.013275287356321
CSA,175,75,11,15,9.000539779663086,304.8449,174,1.751982183908046
NDF,175,75,11,15,173.05254936218262,491.52080000000007,175,2.808690285714286
EDF,175,75,11,15,174.94773864746094,654.5953000000001,174,3.762041954022989
CSA,175,100,11,15,11.00015640258789,289.4682000000001,172,1.682954651162791
NDF,175,100,11,15,234.99727249145508,489.46630000000005,175,2.796950285714286
EDF,175,100,11,15,234.00068283081055,668.5034000000002,174,3.841973563218392
CSA,200,5,40,5,14.999628067016602,425.80989999999997,199,2.13974824120603
NDF,200,5,40,5,20.998001098632812,610.5302000000001,200,3.052651000000001
EDF,200,5,40,5,19.99974250793457,769.1648999999996,199,3.8651502512562796
CSA,200,25,40,5,13.999700546264648,373.7790999999999,198,1.887773232323232
NDF,200,25,40,5,80.0011157989502,625.6969999999999,199,3.144206030150753
EDF,200,25,40,5,79.99897003173828,784.6053,200,3.9230265
CSA,200,50,40,5,13.949155807495117,340.3614999999999,199,1.7103592964824117
NDF,200,50,40,5,153.05447578430176,587.4433000000002,200,2.9372165000000012
EDF,200,50,40,5,154.9975872039795,733.8779999999996,200,3.669389999999998
CSA,200,75,40,5,15.999794006347656,319.672,199,1.606391959798995
NDF,200,75,40,5,233.0012321472168,593.5283000000001,200,2.9676415000000005
EDF,200,75,40,5,227.05459594726562,719.6983000000001,199,3.616574371859297
CSA,200,100,40,5,15.017986297607422,325.31320000000005,199,1.6347396984924625
NDF,200,100,40,5,308.9463710784912,581.8932,200,2.909466
EDF,200,100,40,5,316.0543441772461,743.0387000000003,199,3.733862814070353
CSA,200,5,20,10,11.99793815612793,959.7632,198,4.8472888888888885
NDF,200,5,20,10,21.95143699645996,711.3703,200,3.5568515
EDF,200,5,20,10,18.999814987182617,905.8896,199,4.552209045226131
CSA,200,25,20,10,12.000083923339844,348.5989,199,1.7517532663316584
NDF,200,25,20,10,80.99794387817383,604.821,199,3.039301507537689
EDF,200,25,20,10,80.00040054321289,757.9549999999997,200,3.7897749999999983
CSA,200,50,20,10,12.000799179077148,366.1003,199,1.8397000000000001
NDF,200,50,20,10,155.059814453125,586.6811000000001,200,2.9334055000000006
EDF,200,50,20,10,152.99320220947266,759.8103,200,3.7990515
CSA,200,75,20,10,11.997222900390625,352.1043999999999,199,1.7693688442211049
